,fips_combined,,
ALEXANDRIA ,51510,38.79919623,-77.09773936
BEDFORD ,51515,37.339184,-79.52839
BRISTOL,51520,36.761613,-81.968712
BUENA VISTA ,51530,37.74078,-79.35038
CHARLOTTESVILLE ,51540,38.040101,-78.485066
CHESAPEAKE ,51550,36.805717,-76.27126
COVINGTON ,51580,37.772399,-80.02705
DANVILLE ,51590,36.622638,-79.39998
EMPORIA ,51595,36.68627,-77.56121
FAIRFAX ,51600,38.821753,-77.29293
FALLS CHURCH ,51610,38.849136,-77.14081
FRANKLIN ,51620,36.668255,-76.93945
FREDERICKSBURG ,51630,38.417273,-77.460814
GALAX ,51640,36.649548,-80.92683
HAMPTON ,51650,37.072658,-76.38992
HARRISONBURG ,51660,38.440898,-78.874173
HOPEWELL ,51670,37.287869,-77.29359
LEXINGTON ,51678,37.794344,-79.47658
LYNCHBURG ,51680,37.400275,-79.12597
MANASSAS ,51683,38.685117,-77.44796
MARTINSVILLE ,51690,36.679571,-79.865168
NEWPORT NEWS ,51700,37.193712,-76.57178
NORFOLK ,51710,36.931166,-76.23972
NORTON ,51720,36.942047,-82.63138
PETERSBURG ,51730,37.291252,-80.73601
POQUOSON ,51735,37.131237,-76.38089
PORTSMOUTH ,51740,36.867248,-76.38232
RADFORD,51750,37.138427,-80.55031
SALEM,51775,37.288384,-80.067062
STAUNTON ,51790,38.146216,-79.07625
SUFFOLK ,51800,36.642645,-76.82272
VIRGINIA BEACH ,51810,36.762459,-76.06139
WAYNESBORO ,51820,38.058102,-78.878493
WILLIAMSBURG ,51830,37.310451,-76.746769
WINCHESTER ,51840,39.158386,-78.24758
