,COUNTY
KANAWHA,84
RALEIGH,68
MERCER,67
BERKELEY,65
NICHOLAS,63
OHIO,59
WOOD,58
LOGAN,58
HARRISON,56
CABELL,55
GREENBRIER,50
MARION,50
MARSHALL,49
MORGAN,42
BRAXTON,39
HARDY,39
MCDOWELL,38
HAMPSHIRE,38
HANCOCK,38
JACKSON,37
UPSHUR,37
POCAHONTAS,36
LEWIS,36
MINERAL,32
WAYNE,31
PUTNAM,28
GRANT,28
BOONE,28
WEBSTER,27
JEFFERSON,27
FAYETTE,26
WETZEL,25
RANDOLPH,25
MINGO,24
ROANE,21
SUMMERS,19
DODDRIDGE,19
PRESTON,18
MONONGALIA,17
GILMER,17
MASON,17
MONROE,15
CLAY,13
WYOMING,13
CALHOUN,10
BROOKE,9
RITCHIE,9
BARBOUR,8
TYLER,8
PLEASANTS,8
TUCKER,6
TAYLOR,3
PENDLETON,2
WIRT,2
LINCOLN,2
